nobel_laureate_id,laureate_full_name,known_name,author_id,author_full_name_from_authorships,pair_id,paper_id,patent_id
406,David Baltimore,David Baltimore,https://openalex.org/A5042763205,David Baltimore,W2088272992|US-6410516,W2088272992,US-6410516
449,Phillip A. Sharp,Phillip A. Sharp,https://openalex.org/A5022945869,Phillip A. Sharp,W2088272992|US-6410516,W2088272992,US-6410516
795,Robert H. Grubbs,Robert H. Grubbs,https://openalex.org/A5078597191,Robert H. Grubbs,W1969168578|US-6414097,W1969168578,US-6414097
889,Martin Karplus,Martin Karplus,https://openalex.org/A5076499540,Martin Karplus,W2085444851|US-6416762,W2085444851,US-6416762
264,Dudley R. Herschbach,Dudley R. Herschbach,https://openalex.org/A5000346379,D. R. Herschbach,W2066665742|US-6420699,W2066665742,US-6420699
233,Manfred Eigen,Manfred Eigen,https://openalex.org/A5086771096,Manfred Eigen,W1853146959|US-6423516,W1853146959,US-6423516
907,Hiroshi Amano,Hiroshi Amano,https://openalex.org/A5048399593,Hiroshi Amano,W2121395191|US-6423984,W2121395191,US-6423984
906,Isamu Akasaki,Isamu Akasaki,https://openalex.org/A5081597179,Isamu Akasaki,W2121395191|US-6423984,W2121395191,US-6423984
824,Françoise Barré-Sinoussi,Françoise Barré-Sinoussi,https://openalex.org/A5107827488,Françoise Barré‐Sinoussi,W2035553258|US-6426073,W2035553258,US-6426073
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W2035553258|US-6426073,W2035553258,US-6426073
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W58215616|US-6426073,W58215616,US-6426073
824,Françoise Barré-Sinoussi,Françoise Barré-Sinoussi,https://openalex.org/A5107827488,Françoise Barré‐Sinoussi,W58215616|US-6426073,W58215616,US-6426073
795,Robert H. Grubbs,Robert H. Grubbs,https://openalex.org/A5078597191,Robert H. Grubbs,W2041403339|US-6426419,W2041403339,US-6426419
795,Robert H. Grubbs,Robert H. Grubbs,https://openalex.org/A5078597191,Robert H. Grubbs,W2150761023|US-6426419,W2150761023,US-6426419
795,Robert H. Grubbs,Robert H. Grubbs,https://openalex.org/A5078597191,Robert H. Grubbs,W2952293795|US-6426419,W2952293795,US-6426419
795,Robert H. Grubbs,Robert H. Grubbs,https://openalex.org/A5078597191,Robert H. Grubbs,W2008600728|US-6426419,W2008600728,US-6426419
795,Robert H. Grubbs,Robert H. Grubbs,https://openalex.org/A5078597191,Robert H. Grubbs,W2022974342|US-6426419,W2022974342,US-6426419
795,Robert H. Grubbs,Robert H. Grubbs,https://openalex.org/A5078597191,Robert H. Grubbs,W2116741024|US-6426419,W2116741024,US-6426419
985,Harvey J. Alter,Harvey J. Alter,https://openalex.org/A5011221249,Harrison Alter,W2131345975|US-6428792,W2131345975,US-6428792
986,Michael Houghton,Michael Houghton,https://openalex.org/A5090612228,Michael Houghton,W2131345975|US-6428792,W2131345975,US-6428792
824,Françoise Barré-Sinoussi,Françoise Barré-Sinoussi,https://openalex.org/A5107827488,Françoise Barré‐Sinoussi,W2006710190|US-6428952,W2006710190,US-6428952
824,Françoise Barré-Sinoussi,Françoise Barré-Sinoussi,https://openalex.org/A5107827488,Françoise Barré‐Sinoussi,W44467027|US-6428952,W44467027,US-6428952
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W44467027|US-6428952,W44467027,US-6428952
824,Françoise Barré-Sinoussi,Françoise Barré-Sinoussi,https://openalex.org/A5107827488,Françoise Barré‐Sinoussi,W2001010350|US-6428952,W2001010350,US-6428952
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W2001010350|US-6428952,W2001010350,US-6428952
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W58215616|US-6428952,W58215616,US-6428952
824,Françoise Barré-Sinoussi,Françoise Barré-Sinoussi,https://openalex.org/A5107827488,Françoise Barré‐Sinoussi,W58215616|US-6428952,W58215616,US-6428952
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W2466933921|US-6428952,W2466933921,US-6428952
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W2027861910|US-6428952,W2027861910,US-6428952
824,Françoise Barré-Sinoussi,Françoise Barré-Sinoussi,https://openalex.org/A5107827488,Françoise Barré‐Sinoussi,W2090079821|US-6428952,W2090079821,US-6428952
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W2090079821|US-6428952,W2090079821,US-6428952
824,Françoise Barré-Sinoussi,Françoise Barré-Sinoussi,https://openalex.org/A5107827488,Françoise Barré‐Sinoussi,W91196231|US-6428952,W91196231,US-6428952
824,Françoise Barré-Sinoussi,Françoise Barré-Sinoussi,https://openalex.org/A5107827488,Françoise Barré‐Sinoussi,W2035553258|US-6428952,W2035553258,US-6428952
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W2035553258|US-6428952,W2035553258,US-6428952
824,Françoise Barré-Sinoussi,Françoise Barré-Sinoussi,https://openalex.org/A5107827488,Françoise Barré‐Sinoussi,W2195453688|US-6428952,W2195453688,US-6428952
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W2195453688|US-6428952,W2195453688,US-6428952
824,Françoise Barré-Sinoussi,Françoise Barré-Sinoussi,https://openalex.org/A5107827488,Françoise Barré‐Sinoussi,W1977282539|US-6428952,W1977282539,US-6428952
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W1977282539|US-6428952,W1977282539,US-6428952
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W2049296686|US-6428952,W2049296686,US-6428952
723,Paul Greengard,Paul Greengard,https://openalex.org/A5052825834,Paul Greengard,W2130185623|US-6429010,W2130185623,US-6429010
723,Paul Greengard,Paul Greengard,https://openalex.org/A5052825834,Paul Greengard,W1964008903|US-6429010,W1964008903,US-6429010
723,Paul Greengard,Paul Greengard,https://openalex.org/A5052825834,Paul Greengard,W2044468559|US-6429010,W2044468559,US-6429010
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W2050489828|US-6429306,W2050489828,US-6429306
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W2039975091|US-6429306,W2039975091,US-6429306
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W2008791719|US-6429306,W2008791719,US-6429306
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W2059910556|US-6429306,W2059910556,US-6429306
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W2053667638|US-6429306,W2053667638,US-6429306
1029,Moungi G. Bawendi,Moungi Bawendi,https://openalex.org/A5108389294,Moungi G. Bawendi,W2170800565|US-6433931,W2170800565,US-6433931
878,Robert J. Lefkowitz,Robert J. Lefkowitz,https://openalex.org/A5080672788,Robert J. Lefkowitz,W2149733176|US-6436908,W2149733176,US-6436908
878,Robert J. Lefkowitz,Robert J. Lefkowitz,https://openalex.org/A5080672788,Robert J. Lefkowitz,W2003686368|US-6436908,W2003686368,US-6436908
878,Robert J. Lefkowitz,Robert J. Lefkowitz,https://openalex.org/A5080672788,Robert J. Lefkowitz,W2166819175|US-6436908,W2166819175,US-6436908
878,Robert J. Lefkowitz,Robert J. Lefkowitz,https://openalex.org/A5080672788,Robert J. Lefkowitz,W2077425788|US-6436908,W2077425788,US-6436908
878,Robert J. Lefkowitz,Robert J. Lefkowitz,https://openalex.org/A5080672788,Robert J. Lefkowitz,W2166046118|US-6436908,W2166046118,US-6436908
878,Robert J. Lefkowitz,Robert J. Lefkowitz,https://openalex.org/A5080672788,Robert J. Lefkowitz,W2150739709|US-6436908,W2150739709,US-6436908
878,Robert J. Lefkowitz,Robert J. Lefkowitz,https://openalex.org/A5080672788,Robert J. Lefkowitz,W2043698693|US-6436908,W2043698693,US-6436908
824,Françoise Barré-Sinoussi,Françoise Barré-Sinoussi,https://openalex.org/A5107827488,Françoise Barré‐Sinoussi,W2137267461|US-6440657,W2137267461,US-6440657
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W2137267461|US-6440657,W2137267461,US-6440657
824,Françoise Barré-Sinoussi,Françoise Barré-Sinoussi,https://openalex.org/A5107827488,Françoise Barré‐Sinoussi,W2035553258|US-6440657,W2035553258,US-6440657
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W2035553258|US-6440657,W2035553258,US-6440657
